,path,file_name,path_OD,path_OC,disc_center,tag,dataset,shape,path_OD_png,path_OC_png
0,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_002.png,drishtiGS_002.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_002/drishtiGS_002_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_002/drishtiGS_002_CupAvgBoundary.txt,"(992, 840)",Glaucoma,drishti,"(1752, 2045, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_002/drishtiGS_002_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_002/drishtiGS_002_CupAvgBoundary_OC_img.png
1,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_004.png,drishtiGS_004.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_004/drishtiGS_004_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_004/drishtiGS_004_CupAvgBoundary.txt,"(988, 1100)",Glaucoma,drishti,"(1762, 2049, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_004/drishtiGS_004_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_004/drishtiGS_004_CupAvgBoundary_OC_img.png
2,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_010.png,drishtiGS_010.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_010/drishtiGS_010_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_010/drishtiGS_010_CupAvgBoundary.txt,"(989, 905)",Glaucoma,drishti,"(1757, 2140, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_010/drishtiGS_010_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_010/drishtiGS_010_CupAvgBoundary_OC_img.png
3,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_012.png,drishtiGS_012.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_012/drishtiGS_012_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_012/drishtiGS_012_CupAvgBoundary.txt,"(1085, 1038)",Glaucoma,drishti,"(1755, 2047, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_012/drishtiGS_012_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_012/drishtiGS_012_CupAvgBoundary_OC_img.png
4,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_015.png,drishtiGS_015.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_015/drishtiGS_015_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_015/drishtiGS_015_CupAvgBoundary.txt,"(1108, 899)",Glaucoma,drishti,"(1758, 2050, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_015/drishtiGS_015_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_015/drishtiGS_015_CupAvgBoundary_OC_img.png
5,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_016.png,drishtiGS_016.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_016/drishtiGS_016_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_016/drishtiGS_016_CupAvgBoundary.txt,"(1069, 950)",Glaucoma,drishti,"(1760, 2051, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_016/drishtiGS_016_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_016/drishtiGS_016_CupAvgBoundary_OC_img.png
6,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_022.png,drishtiGS_022.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_022/drishtiGS_022_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_022/drishtiGS_022_CupAvgBoundary.txt,"(936, 970)",Glaucoma,drishti,"(1753, 2048, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_022/drishtiGS_022_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_022/drishtiGS_022_CupAvgBoundary_OC_img.png
7,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_024.png,drishtiGS_024.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_024/drishtiGS_024_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_024/drishtiGS_024_CupAvgBoundary.txt,"(962, 910)",Glaucoma,drishti,"(1757, 2047, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_024/drishtiGS_024_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_024/drishtiGS_024_CupAvgBoundary_OC_img.png
8,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_026.png,drishtiGS_026.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_026/drishtiGS_026_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_026/drishtiGS_026_CupAvgBoundary.txt,"(865, 809)",Glaucoma,drishti,"(1763, 2047, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_026/drishtiGS_026_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_026/drishtiGS_026_CupAvgBoundary_OC_img.png
9,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_031.png,drishtiGS_031.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_031/drishtiGS_031_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_031/drishtiGS_031_CupAvgBoundary.txt,"(1315, 842)",Glaucoma,drishti,"(1763, 2466, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_031/drishtiGS_031_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_031/drishtiGS_031_CupAvgBoundary_OC_img.png
